N°,NIVEL,DEPARTAMENTO,PROVINCIA,MUNICIPIO/TIOC,ÁREA,NÚMERO DE VIVIENDAS | Total,"NÚMERO DE VIVIENDAS | Hotel, hostal, residencial, alojamiento",NÚMERO DE VIVIENDAS | Hospital o clínica con internación,NÚMERO DE VIVIENDAS | Cuartel o establecimiento militar o policial,NÚMERO DE VIVIENDAS | Residencia u otro de adultos mayores,NÚMERO DE VIVIENDAS | Albergue de niñas(os) y adolescentes,NÚMERO DE VIVIENDAS | Recinto penitenciario o de reintegración,NÚMERO DE VIVIENDAS | Campamento de trabajo,"NÚMERO DE VIVIENDAS | Otra 
(Instituto de rehabilitación, convento)","DISTRIBUCIÓN PORCENTUAL | Hotel, hostal, residencial, alojamiento",DISTRIBUCIÓN PORCENTUAL | Hospital o clínica con internación,DISTRIBUCIÓN PORCENTUAL | Cuartel o establecimiento militar o policial,DISTRIBUCIÓN PORCENTUAL | Residencia u otro de adultos mayores,DISTRIBUCIÓN PORCENTUAL | Albergue de niñas(os) y adolescentes,DISTRIBUCIÓN PORCENTUAL | Recinto penitenciario o de reintegración,DISTRIBUCIÓN PORCENTUAL | Campamento de trabajo,"DISTRIBUCIÓN PORCENTUAL | Otra 
(Instituto de rehabilitación, convento)"
1125,Municipio/TIOC,Santa Cruz,Cordillera,Cuevo,Rural,3,0,0,1,0,0,0,1,1,0,0,33.3333333,0,0,0,33.3333333,33.3333333
1126,Municipio/TIOC,Santa Cruz,Cordillera,Gutiérrez (Autonomía Indígena Kereimba Iyaambae),Gutiérrez (Autonomía Indígena Kereimba Iyaambae),15,1,2,1,1,0,0,4,6,6.6666667,13.3333333,6.6666667,6.6666667,0,0,26.6666667,40
1127,Municipio/TIOC,Santa Cruz,Cordillera,Gutiérrez (Autonomía Indígena Kereimba Iyaambae),Urbana,,,,,,,,,,,,,,,,,
1128,Municipio/TIOC,Santa Cruz,Cordillera,Gutiérrez (Autonomía Indígena Kereimba Iyaambae),Rural,15,1,2,1,1,0,0,4,6,6.6666667,13.3333333,6.6666667,6.6666667,0,0,26.6666667,40
1129,Municipio/TIOC,Santa Cruz,Cordillera,Camiri,Camiri,58,23,6,11,1,3,1,5,8,39.6551724,10.3448276,18.9655172,1.7241379,5.1724138,1.7241379,8.6206897,13.7931034
1130,Municipio/TIOC,Santa Cruz,Cordillera,Camiri,Urbana,52,22,6,8,1,3,1,4,7,42.3076923,11.5384615,15.3846154,1.9230769,5.7692308,1.9230769,7.6923077,13.4615385
1131,Municipio/TIOC,Santa Cruz,Cordillera,Camiri,Rural,6,1,0,3,0,0,0,1,1,16.6666667,0,50,0,0,0,16.6666667,16.6666667
1132,Municipio/TIOC,Santa Cruz,Cordillera,Boyuibe,Boyuibe,16,3,1,9,0,0,0,2,1,18.75,6.25,56.25,0,0,0,12.5,6.25
1133,Municipio/TIOC,Santa Cruz,Cordillera,Boyuibe,Urbana,13,3,1,8,0,0,0,0,1,23.0769231,7.6923077,61.5384615,0,0,0,0,7.6923077
1134,Municipio/TIOC,Santa Cruz,Cordillera,Boyuibe,Rural,3,0,0,1,0,0,0,2,0,0,0,33.3333333,0,0,0,66.6666667,0
1135,Provincia,Santa Cruz,Valle Grande,,Valle Grande,51,23,8,3,1,4,1,5,6,45.0980392,15.6862745,5.8823529,1.9607843,7.8431373,1.9607843,9.8039216,11.7647059
1136,Provincia,Santa Cruz,Valle Grande,,Urbana,26,8,7,3,1,3,1,0,3,30.7692308,26.9230769,11.5384615,3.8461538,11.5384615,3.8461538,0,11.5384615
