N°,NIVEL,DEPARTAMENTO,PROVINCIA,MUNICIPIO/TIOC,ÁREA,NÚMERO DE PERSONAS(1) | 2001 | Total,NÚMERO DE PERSONAS(1) | 2001 | Tiene,NÚMERO DE PERSONAS(1) | 2001 | No tiene,NÚMERO DE PERSONAS(1) | 2012 | Total,NÚMERO DE PERSONAS(1) | 2012 | Tiene,NÚMERO DE PERSONAS(1) | 2012 | No tiene,NÚMERO DE PERSONAS(1) | 2024 | Total,NÚMERO DE PERSONAS(1) | 2024 | Tiene,NÚMERO DE PERSONAS(1) | 2024 | No tiene,DISTRIBUCIÓN PORCENTUAL | 2001 | Tiene,DISTRIBUCIÓN PORCENTUAL | 2001 | No tiene,DISTRIBUCIÓN PORCENTUAL | 2012 | Tiene,DISTRIBUCIÓN PORCENTUAL | 2012 | No tiene,DISTRIBUCIÓN PORCENTUAL | 2024 | Tiene,DISTRIBUCIÓN PORCENTUAL | 2024 | No tiene
90,Municipio/TIOC,Chuquisaca,Nor Cinti,Incahuasi,Rural,10612,1184,9428,12855,4057,8798,13280,7578,5702,11.1571806,88.8428194,31.5597044,68.4402956,57.063253,42.936747
91,Municipio/TIOC,Chuquisaca,Nor Cinti,Villa Charcas,Villa Charcas,12255,1527,10728,15685,6183,9502,14211,10635,3576,12.4602203,87.5397797,39.4198279,60.5801721,74.8363943,25.1636057
92,Municipio/TIOC,Chuquisaca,Nor Cinti,Villa Charcas,Urbana,,,,2439,2029,410,2614,2586,28,,,83.1898319,16.8101681,98.9288447,1.0711553
93,Municipio/TIOC,Chuquisaca,Nor Cinti,Villa Charcas,Rural,12255,1527,10728,13246,4154,9092,11597,8049,3548,12.4602203,87.5397797,31.3604107,68.6395893,69.4058808,30.5941192
94,Provincia,Chuquisaca,Belisario Boeto,,Belisario Boeto,11997,2418,9579,10907,6653,4254,8992,7887,1105,20.1550388,79.8449612,60.9975245,39.0024755,87.7112989,12.2887011
95,Provincia,Chuquisaca,Belisario Boeto,,Urbana,2606,2156,450,3152,3072,80,3370,3352,18,82.7321566,17.2678434,97.4619289,2.5380711,99.4658754,0.5341246
96,Provincia,Chuquisaca,Belisario Boeto,,Rural,9391,262,9129,7755,3581,4174,5622,4535,1087,2.7899052,97.2100948,46.1766602,53.8233398,80.6652437,19.3347563
97,Municipio/TIOC,Chuquisaca,Belisario Boeto,Villa Serrano,Villa Serrano,11997,2418,9579,10907,6653,4254,8992,7887,1105,20.1550388,79.8449612,60.9975245,39.0024755,87.7112989,12.2887011
98,Municipio/TIOC,Chuquisaca,Belisario Boeto,Villa Serrano,Urbana,2606,2156,450,3152,3072,80,3370,3352,18,82.7321566,17.2678434,97.4619289,2.5380711,99.4658754,0.5341246
99,Municipio/TIOC,Chuquisaca,Belisario Boeto,Villa Serrano,Rural,9391,262,9129,7755,3581,4174,5622,4535,1087,2.7899052,97.2100948,46.1766602,53.8233398,80.6652437,19.3347563
100,Provincia,Chuquisaca,Sud Cinti,,Sud Cinti,24032,4251,19781,24854,14089,10765,25072,19948,5124,17.6889148,82.3110852,56.6870524,43.3129476,79.562859,20.437141
101,Provincia,Chuquisaca,Sud Cinti,,Urbana,2024,1716,308,2632,2414,218,5653,5437,216,84.7826087,15.2173913,91.7173252,8.2826748,96.17902,3.82098
102,Provincia,Chuquisaca,Sud Cinti,,Rural,22008,2535,19473,22222,11675,10547,19419,14511,4908,11.5185387,88.4814613,52.5380254,47.4619746,74.725784,25.274216
103,Municipio/TIOC,Chuquisaca,Sud Cinti,Villa Abecia,Villa Abecia,3126,736,2390,3373,1598,1775,5294,4666,628,23.5444658,76.4555342,47.3762229,52.6237771,88.1375142,11.8624858
104,Municipio/TIOC,Chuquisaca,Sud Cinti,Villa Abecia,Urbana,,,,,,,2291,2247,44,,,,,98.0794413,1.9205587
105,Municipio/TIOC,Chuquisaca,Sud Cinti,Villa Abecia,Rural,3126,736,2390,3373,1598,1775,3003,2419,584,23.5444658,76.4555342,47.3762229,52.6237771,80.5527806,19.4472194
106,Municipio/TIOC,Chuquisaca,Sud Cinti,Culpina,Culpina,17367,3384,13983,17544,9953,7591,14799,10699,4100,19.4852306,80.5147694,56.7316461,43.2683539,72.2954254,27.7045746
107,Municipio/TIOC,Chuquisaca,Sud Cinti,Culpina,Urbana,2024,1716,308,2632,2414,218,3362,3190,172,84.7826087,15.2173913,91.7173252,8.2826748,94.8839976,5.1160024
108,Municipio/TIOC,Chuquisaca,Sud Cinti,Culpina,Rural,15343,1668,13675,14912,7539,7373,11437,7509,3928,10.8714072,89.1285928,50.5565987,49.4434013,65.6553292,34.3446708
109,Municipio/TIOC,Chuquisaca,Sud Cinti,Las Carreras,Las Carreras,3539,131,3408,3937,2538,1399,4979,4583,396,3.7016106,96.2983894,64.4653289,35.5346711,92.0465957,7.9534043
110,Municipio/TIOC,Chuquisaca,Sud Cinti,Las Carreras,Urbana,,,,,,,,,,,,,,,
111,Municipio/TIOC,Chuquisaca,Sud Cinti,Las Carreras,Rural,3539,131,3408,3937,2538,1399,4979,4583,396,3.7016106,96.2983894,64.4653289,35.5346711,92.0465957,7.9534043
112,Provincia,Chuquisaca,Luis Calvo,,Luis Calvo,20029,4113,15916,18517,10483,8034,19713,16119,3594,20.5352239,79.4647761,56.6128423,43.3871577,81.7683762,18.2316238
113,Provincia,Chuquisaca,Luis Calvo,,Urbana,2262,2040,222,3036,2951,85,3926,3889,37,90.1856764,9.8143236,97.2002635,2.7997365,99.057565,0.942435
114,Provincia,Chuquisaca,Luis Calvo,,Rural,17767,2073,15694,15481,7532,7949,15787,12230,3557,11.6676985,88.3323015,48.6531878,51.3468122,77.4688034,22.5311966
115,Municipio/TIOC,Chuquisaca,Luis Calvo,Villa Vaca Guzmán,Villa Vaca Guzmán,10581,2456,8125,9345,5402,3943,10634,8645,1989,23.2114167,76.7885833,57.8063135,42.1936865,81.2958435,18.7041565
116,Municipio/TIOC,Chuquisaca,Luis Calvo,Villa Vaca Guzmán,Urbana,2262,2040,222,3036,2951,85,3926,3889,37,90.1856764,9.8143236,97.2002635,2.7997365,99.057565,0.942435
117,Municipio/TIOC,Chuquisaca,Luis Calvo,Villa Vaca Guzmán,Rural,8319,416,7903,6309,2451,3858,6708,4756,1952,5.000601,94.999399,38.849263,61.150737,70.9004174,29.0995826
118,Municipio/TIOC,Chuquisaca,Luis Calvo,Huacaya (Autonomía Guaraní Chaqueño de Huacaya),Huacaya (Autonomía Guaraní Chaqueño de Huacaya),2337,64,2273,2429,1033,1396,2538,2298,240,2.7385537,97.2614463,42.5277892,57.4722108,90.5437352,9.4562648
119,Municipio/TIOC,Chuquisaca,Luis Calvo,Huacaya (Autonomía Guaraní Chaqueño de Huacaya),Urbana,,,,,,,,,,,,,,,
120,Municipio/TIOC,Chuquisaca,Luis Calvo,Huacaya (Autonomía Guaraní Chaqueño de Huacaya),Rural,2337,64,2273,2429,1033,1396,2538,2298,240,2.7385537,97.2614463,42.5277892,57.4722108,90.5437352,9.4562648
