c_ut,count,mean,median,std,min,max,q10,q20,q25,q30,q40,q50,q60,q70,q75,q80,q90,IQR,name,province,department,num_dpto,surface,Population_2024,density
70404,1151,1.229,1.075,0.862,0,3.969,0.171,0.519,0.648,0.747,0.894,1.075,1.252,1.535,1.714,1.886,2.492,1.066,San Juan de Yapacani,Ichilo,Santa Cruz,7,1578,10206,6.47
60101,50531,1.290,1.160,0.902,0,3.966,0.166,0.470,0.593,0.710,0.936,1.160,1.403,1.682,1.851,2.042,2.579,1.258,Tarija,Cercado,Tarija,6,2132,238942,112.07
70201,26709,1.274,1.128,0.906,0,4.032,0.163,0.468,0.599,0.717,0.927,1.128,1.351,1.617,1.787,1.989,2.579,1.188,Warnes,Warnes,Santa Cruz,7,1315,150803,114.68
70105,10220,0.990,0.877,0.680,0,3.053,0.162,0.393,0.498,0.583,0.728,0.877,1.041,1.252,1.374,1.520,1.984,0.876,El Torno,Andres Ibanez,Santa Cruz,7,959.5,55558,57.9
71004,2297,0.997,0.905,0.683,0,3.015,0.158,0.365,0.503,0.601,0.756,0.905,1.057,1.255,1.383,1.523,1.943,0.880,Fernandez Alonso,Obispo Santistevan,Santa Cruz,7,760.1,14625,19.24
71501,4048,1.026,0.892,0.755,0,3.396,0.156,0.341,0.426,0.519,0.698,0.892,1.092,1.320,1.460,1.623,2.125,1.034,Ascension de Guarayos,Guarayos,Santa Cruz,7,8674,34002,3.92
71105,880,0.634,0.553,0.431,0,1.95,0.154,0.244,0.296,0.341,0.435,0.553,0.678,0.815,0.882,0.973,1.264,0.587,San Antonio de Lomerio,Nuflo de Chaves,Santa Cruz,7,2503,8427,3.37
80201,17668,0.876,0.714,0.675,0.012,3.013,0.150,0.276,0.333,0.401,0.549,0.714,0.894,1.123,1.258,1.422,1.872,0.925,Riberalta,Vaca Diez,Beni,8,9726,107141,11.02
70403,8807,1.099,0.963,0.790,0,3.492,0.149,0.389,0.509,0.612,0.788,0.963,1.150,1.402,1.543,1.720,2.260,1.034,Villa Yapacani,Ichilo,Santa Cruz,7,9514,57683,6.06
70503,3220,1.104,0.971,0.809,0,3.571,0.140,0.347,0.460,0.559,0.773,0.971,1.183,1.448,1.585,1.753,2.273,1.125,Robore,Chiquitos,Santa Cruz,7,7353,18701,2.54
90303,486,0.937,0.806,0.717,0,3.147,0.138,0.279,0.362,0.432,0.600,0.806,0.998,1.204,1.337,1.507,1.996,0.974,Sena,Madre de Dios,Pando,9,7634,10264,1.34
70402,3478,1.064,0.949,0.755,0,3.362,0.138,0.385,0.485,0.591,0.775,0.949,1.127,1.362,1.522,1.663,2.162,1.037,San Carlos,Ichilo,Santa Cruz,7,1212,18998,15.67
