N°,NIVEL,DEPARTAMENTO,PROVINCIA,MUNICIPIO/TIOC,�REA, 2024, 2025, 2026, 2027, 2028, 2029, 2030, 2031, 2032, 2033, 2034
150,Departamento,Cochabamba,,,Cochabamba,2130137,2136647,2144866,2152208,2158905,2165031,2170627,2175726,2180469,2184880,2189324
151,Provincia,Cochabamba,Cercado,,Cercado,704327,703083,702935,702956,703228,703642,704292,705087,705951,707048,708300
152,Municipio/TIOC,Cochabamba,Cercado,Cochabamba,Cochabamba,704327,703083,702935,702956,703228,703642,704292,705087,705951,707048,708300
153,Provincia,Cochabamba,Campero,,Campero,38437,38157,37884,37635,37365,37106,36871,36617,36389,36173,35958
154,Municipio/TIOC,Cochabamba,Campero,Aiquile,Aiquile,24497,24257,24034,23818,23603,23380,23182,22978,22794,22605,22434
155,Municipio/TIOC,Cochabamba,Campero,Pasorapa,Pasorapa,6869,6796,6726,6661,6588,6532,6471,6403,6345,6293,6244
156,Municipio/TIOC,Cochabamba,Campero,Omereque,Omereque,7071,7104,7124,7156,7174,7194,7218,7236,7250,7275,7280
157,Provincia,Cochabamba,Ayopaya,,Ayopaya,59430,59028,58700,58370,58042,57743,57459,57191,56978,56767,56595
158,Municipio/TIOC,Cochabamba,Ayopaya,Ayopaya,Ayopaya,23144,22776,22451,22126,21831,21542,21279,21028,20817,20608,20425
159,Municipio/TIOC,Cochabamba,Ayopaya,Morochata,Morochata,15546,15553,15572,15592,15590,15607,15614,15620,15636,15651,15664
160,Municipio/TIOC,Cochabamba,Ayopaya,Cocapata,Cocapata,20740,20699,20677,20652,20621,20594,20566,20543,20525,20508,20506
161,Provincia,Cochabamba,Esteban Arze,,Esteban Arze,55709,56570,57396,58113,58727,59226,59647,59982,60237,60425,60604
162,Municipio/TIOC,Cochabamba,Esteban Arze,Tarata,Tarata,11868,12015,12165,12302,12420,12531,12632,12728,12800,12868,12934
163,Municipio/TIOC,Cochabamba,Esteban Arze,Anzaldo,Anzaldo,7769,7701,7641,7580,7531,7464,7415,7362,7302,7254,7212
164,Municipio/TIOC,Cochabamba,Esteban Arze,Arbieto,Arbieto,30803,31580,32317,32953,33498,33951,34328,34621,34870,35048,35198
165,Municipio/TIOC,Cochabamba,Esteban Arze,Sacabamba,Sacabamba,5269,5274,5273,5278,5278,5280,5272,5271,5265,5255,5260
166,Provincia,Cochabamba,Arani,,Arani,20730,20616,20512,20414,20322,20236,20144,20061,20000,19915,19858
167,Municipio/TIOC,Cochabamba,Arani,Arani,Arani,11813,11830,11861,11887,11906,11928,11938,11948,11966,11970,11977
168,Municipio/TIOC,Cochabamba,Arani,Vacas,Vacas,8917,8786,8651,8527,8416,8308,8206,8113,8034,7945,7881
169,Provincia,Cochabamba,Arque,,Arque,22632,22474,22327,22190,22038,21900,21758,21631,21500,21379,21268
170,Municipio/TIOC,Cochabamba,Arque,Arque,Arque,11260,11165,11072,10985,10889,10801,10710,10632,10551,10472,10402
171,Municipio/TIOC,Cochabamba,Arque,Tacopaya,Tacopaya,11372,11309,11255,11205,11149,11099,11048,10999,10949,10907,10866
172,Provincia,Cochabamba,Capinota,,Capinota,33182,33054,32962,32877,32763,32680,32579,32470,32390,32298,32242
173,Municipio/TIOC,Cochabamba,Capinota,Capinota,Capinota,20585,20414,20277,20139,19996,19850,19719,19580,19458,19340,19237
174,Municipio/TIOC,Cochabamba,Capinota,Santiváñez,Santiváñez,8384,8432,8477,8523,8565,8618,8650,8682,8727,8753,8791
175,Municipio/TIOC,Cochabamba,Capinota,Sicaya,Sicaya,4213,4208,4208,4215,4202,4212,4210,4208,4205,4205,4214
176,Provincia,Cochabamba,Germán Jordán,,Germán Jordán,39355,39255,39194,39094,38980,38873,38731,38585,38440,38303,38153
177,Municipio/TIOC,Cochabamba,Germán Jordán,Cliza,Cliza,22419,22178,21963,21746,21529,21324,21116,20913,20713,20540,20364
178,Municipio/TIOC,Cochabamba,Germán Jordán,Toco,Toco,7812,7775,7748,7710,7683,7657,7620,7598,7575,7554,7535
