municipality,department,sector,end_use,MWh,muni_ramp
Santos Mercado,Pando,SERVICES,HEAT_LOW_T_HW,1.0582,Santos_Mercado
Nueva Esperanza,Pando,SERVICES,ELECTRICITY,12.2998,Nueva_Esperanza
Nueva Esperanza,Pando,SERVICES,SPACE_COOLING,2.1075,Nueva_Esperanza
Nueva Esperanza,Pando,SERVICES,FOOD_PRESERVATION,1.5443,Nueva_Esperanza
Nueva Esperanza,Pando,SERVICES,COOKING,0.7631,Nueva_Esperanza
Nueva Esperanza,Pando,SERVICES,MECHANICAL_ENERGY_COMM,0.4905,Nueva_Esperanza
Nueva Esperanza,Pando,SERVICES,LIGHTING_R_C,0.5450,Nueva_Esperanza
Nueva Esperanza,Pando,SERVICES,HEAT_LOW_T_HW,0.3997,Nueva_Esperanza
Ingavi,Pando,SERVICES,ELECTRICITY,19.5713,Ingavi
Ingavi,Pando,SERVICES,SPACE_COOLING,3.3534,Ingavi
Ingavi,Pando,SERVICES,FOOD_PRESERVATION,2.4573,Ingavi
Ingavi,Pando,SERVICES,COOKING,1.2142,Ingavi
Ingavi,Pando,SERVICES,MECHANICAL_ENERGY_COMM,0.7805,Ingavi
Ingavi,Pando,SERVICES,LIGHTING_R_C,0.8673,Ingavi
Ingavi,Pando,SERVICES,HEAT_LOW_T_HW,0.6360,Ingavi
San Pedro,Pando,SERVICES,ELECTRICITY,0.3456,San_Pedro
San Pedro,Pando,SERVICES,SPACE_COOLING,0.0592,San_Pedro
San Pedro,Pando,SERVICES,FOOD_PRESERVATION,0.0434,San_Pedro
San Pedro,Pando,SERVICES,COOKING,0.0214,San_Pedro
San Pedro,Pando,SERVICES,MECHANICAL_ENERGY_COMM,0.0138,San_Pedro
San Pedro,Pando,SERVICES,LIGHTING_R_C,0.0153,San_Pedro
San Pedro,Pando,SERVICES,HEAT_LOW_T_HW,0.0112,San_Pedro
Riberalta,Beni,INDUSTRY,MECHANICAL_ENERGY_IND,4935.4495,Riberalta
Riberalta,Beni,INDUSTRY,LIGHTING_R_C,259.7605,Riberalta
Guayaramerín,Beni,INDUSTRY,MECHANICAL_ENERGY_IND,2117.5025,Guayaramerín
Guayaramerín,Beni,INDUSTRY,LIGHTING_R_C,111.4475,Guayaramerín
Reyes,Beni,INDUSTRY,MECHANICAL_ENERGY_IND,225.0740,Reyes
Reyes,Beni,INDUSTRY,LIGHTING_R_C,11.8460,Reyes
Santa Rosa,Beni,INDUSTRY,MECHANICAL_ENERGY_IND,348.2700,Santa_Rosa_Beni
Santa Rosa,Beni,INDUSTRY,LIGHTING_R_C,18.3300,Santa_Rosa_Beni
Exaltación,Beni,INDUSTRY,MECHANICAL_ENERGY_IND,0.1425,Exaltación
Exaltación,Beni,INDUSTRY,LIGHTING_R_C,0.0075,Exaltación
El Sena,Pando,INDUSTRY,MECHANICAL_ENERGY_IND,339.9195,Sena
El Sena,Pando,INDUSTRY,LIGHTING_R_C,17.8905,Sena
Puerto Gonzalo Moreno,Pando,INDUSTRY,MECHANICAL_ENERGY_IND,0.0000,Puerto_Gonzalo_Moreno
Puerto Gonzalo Moreno,Pando,INDUSTRY,LIGHTING_R_C,0.0000,Puerto_Gonzalo_Moreno
Villa Nueva,Pando,INDUSTRY,MECHANICAL_ENERGY_IND,37.6960,Villa_Nueva
Villa Nueva,Pando,INDUSTRY,LIGHTING_R_C,1.9840,Villa_Nueva
Cobija,Pando,INDUSTRY,MECHANICAL_ENERGY_IND,3668.1115,Cobija
Cobija,Pando,INDUSTRY,LIGHTING_R_C,193.0585,Cobija
Porvenir,Pando,INDUSTRY,MECHANICAL_ENERGY_IND,333.3550,Porvenir
Porvenir,Pando,INDUSTRY,LIGHTING_R_C,17.5450,Porvenir
Puerto Rico,Pando,INDUSTRY,MECHANICAL_ENERGY_IND,312.7305,Puerto_Rico
Puerto Rico,Pando,INDUSTRY,LIGHTING_R_C,16.4595,Puerto_Rico
Filadelfia,Pando,INDUSTRY,MECHANICAL_ENERGY_IND,305.2920,Filadelfia
Filadelfia,Pando,INDUSTRY,LIGHTING_R_C,16.0680,Filadelfia
Bella Flor,Pando,INDUSTRY,MECHANICAL_ENERGY_IND,58.9000,Bella_Flor
Bella Flor,Pando,INDUSTRY,LIGHTING_R_C,3.1000,Bella_Flor
Bolpebra,Pando,INDUSTRY,MECHANICAL_ENERGY_IND,16.1500,Bolpebra
Bolpebra,Pando,INDUSTRY,LIGHTING_R_C,0.8500,Bolpebra
Ixiamas,La Paz,INDUSTRY,MECHANICAL_ENERGY_IND,140.6095,Ixiamas
Ixiamas,La Paz,INDUSTRY,LIGHTING_R_C,7.4005,Ixiamas
San Lorenzo,Pando,INDUSTRY,MECHANICAL_ENERGY_IND,123.2055,San_Lorenzo
San Lorenzo,Pando,INDUSTRY,LIGHTING_R_C,6.4845,San_Lorenzo
Santa Rosa del Abuná,Pando,INDUSTRY,MECHANICAL_ENERGY_IND,0.2755,Santa_Rosa_Pando
Santa Rosa del Abuná,Pando,INDUSTRY,LIGHTING_R_C,0.0145,Santa_Rosa_Pando
Santos Mercado,Pando,INDUSTRY,MECHANICAL_ENERGY_IND,0.0950,Santos_Mercado
Santos Mercado,Pando,INDUSTRY,LIGHTING_R_C,0.0050,Santos_Mercado
Nueva Esperanza,Pando,INDUSTRY,MECHANICAL_ENERGY_IND,0.0380,Nueva_Esperanza
Nueva Esperanza,Pando,INDUSTRY,LIGHTING_R_C,0.0020,Nueva_Esperanza
Ingavi,Pando,INDUSTRY,MECHANICAL_ENERGY_IND,0.0570,Ingavi
Ingavi,Pando,INDUSTRY,LIGHTING_R_C,0.0030,Ingavi
San Pedro,Pando,INDUSTRY,MECHANICAL_ENERGY_IND,0.0000,San_Pedro
San Pedro,Pando,INDUSTRY,LIGHTING_R_C,0.0000,San_Pedro
Riberalta,Beni,PUBLIC_LIGHTING,LIGHTING_P,3987.2000,Riberalta
Guayaramerín,Beni,PUBLIC_LIGHTING,LIGHTING_P,1243.0800,Guayaramerín
Reyes,Beni,PUBLIC_LIGHTING,LIGHTING_P,474.0500,Reyes
Santa Rosa,Beni,PUBLIC_LIGHTING,LIGHTING_P,224.7700,Santa_Rosa_Beni
Exaltación,Beni,PUBLIC_LIGHTING,LIGHTING_P,20.0200,Exaltación
El Sena,Pando,PUBLIC_LIGHTING,LIGHTING_P,153.0100,Sena
Puerto Gonzalo Moreno,Pando,PUBLIC_LIGHTING,LIGHTING_P,124.5800,Puerto_Gonzalo_Moreno
Villa Nueva,Pando,PUBLIC_LIGHTING,LIGHTING_P,37.1300,Villa_Nueva
Cobija,Pando,PUBLIC_LIGHTING,LIGHTING_P,2207.6600,Cobija
Porvenir,Pando,PUBLIC_LIGHTING,LIGHTING_P,200.6300,Porvenir
Puerto Rico,Pando,PUBLIC_LIGHTING,LIGHTING_P,188.2200,Puerto_Rico
Filadelfia,Pando,PUBLIC_LIGHTING,LIGHTING_P,183.7400,Filadelfia
Bella Flor,Pando,PUBLIC_LIGHTING,LIGHTING_P,35.4500,Bella_Flor
Bolpebra,Pando,PUBLIC_LIGHTING,LIGHTING_P,9.7200,Bolpebra
Ixiamas,La Paz,PUBLIC_LIGHTING,LIGHTING_P,296.1600,Ixiamas
