PV,SOLAR,WIND_ONSHORE
0.065333,0.087558,0.031667
0.170667,0.196313,0.031333
0.279000,0.312135,0.060333
0.361667,0.407988,0.084000
0.413333,0.470968,0.091667
0.414333,0.472811,0.091333
0.398000,0.454071,0.082333
0.312333,0.353610,0.074000
0.233667,0.266974,0.067000
0.147000,0.174501,0.055000
0.061333,0.084485,0.046000
0.000333,0.013518,0.045000
0.000000,0.000000,0.056333
0.000000,0.000000,0.073333
0.000000,0.000000,0.078667
0.000000,0.000000,0.076333
0.000000,0.000000,0.079000
0.000000,0.000000,0.081000
0.000000,0.000000,0.075333
0.000000,0.000000,0.072000
0.000000,0.000000,0.069667
0.000000,0.000000,0.064667
0.000000,0.000000,0.055667
0.005333,0.021813,0.046333
0.089000,0.112442,0.014667
0.194333,0.222120,0.029000
0.300333,0.338863,0.044333
0.401000,0.456528,0.049000
0.479000,0.551767,0.051000
0.542000,0.633794,0.056333
0.545000,0.640860,0.067333
0.487333,0.567435,0.082333
0.388000,0.444854,0.094333
0.253667,0.289401,0.092000
0.117000,0.143164,0.082333
0.007000,0.022734,0.083667
0.000000,0.000000,0.104000
0.000000,0.000000,0.118667
0.000000,0.000000,0.109667
0.000000,0.000000,0.088667
0.000000,0.000000,0.064000
0.000000,0.000000,0.044667
0.000000,0.000000,0.041667
0.000000,0.000000,0.043000
0.000000,0.000000,0.046667
0.000000,0.000000,0.044333
0.000000,0.000000,0.040667
0.004667,0.018740,0.039667
0.085000,0.107527,0.027667
0.223000,0.254378,0.041333
0.356333,0.407988,0.087667
0.460000,0.537327,0.108000
0.516333,0.608909,0.113667
0.534667,0.633487,0.110333
0.502667,0.590783,0.094667
0.429333,0.496160,0.075000
0.321000,0.365899,0.053000
0.184333,0.214747,0.028333
0.062000,0.085714,0.015000
0.000000,0.011982,0.011333
0.000000,0.000000,0.018667
0.000000,0.000000,0.029333
0.000000,0.000000,0.034667
0.000000,0.000000,0.029333
0.000000,0.000000,0.025667
0.000000,0.000000,0.027667
0.000000,0.000000,0.026333
0.000000,0.000000,0.025000
0.000000,0.000000,0.026000
0.000000,0.000000,0.022333
0.000000,0.000000,0.014333
0.004667,0.019355,0.009000
0.084333,0.107527,0.004667
0.205333,0.235330,0.006000
0.316667,0.359140,0.003667
0.402667,0.460215,0.001333
0.456000,0.526575,0.000333
0.480667,0.558218,0.000000
0.464667,0.538249,0.000000
0.405667,0.466667,0.000000
0.318000,0.363134,0.000000
0.205000,0.237174,0.000000
0.086333,0.111521,0.000667
0.001667,0.016590,0.002333
0.000000,0.000000,0.012333
0.000000,0.000000,0.019667
0.000000,0.000000,0.028333
0.000000,0.000000,0.056667
0.000000,0.000000,0.115333
0.000000,0.000000,0.160000
0.000000,0.000000,0.160333
0.000000,0.000000,0.151667
0.000000,0.000000,0.138667
0.000000,0.000000,0.132667
0.000000,0.000000,0.140333
0.004667,0.019969,0.146667
0.093000,0.116436,0.102667
0.220000,0.250384,0.105667
0.325000,0.368664,0.093000
