Cluster,Comunidad,Municipio_std,HH,distance_km,nearest_line_type,annual_extension_EUR_HH,annual_standalone_EUR_HH,dispersed,breakeven_distance_km
C1,SAL SI PUEDES,Reyes,2.953271028037383,21.51912269889449,SIN,7657.23,1583.83,True,4.412
C1,CALIFORNIA,Reyes,31.74766355140187,25.655705446772725,Sist. Ais.,864.76,1583.83,False,47.429
C1,SAN MIGUEL DE SORAIDA,Reyes,2.953271028037383,27.77491582258962,SIN,9878.17,1583.83,True,4.412
C1,CARNAVAL,Reyes,5.906542056074766,29.64469083329769,Sist. Ais.,5279.73,1583.83,True,8.824
C1,CARMEN ALTO,Reyes,52.42056074766355,39.06838414010726,Sist. Ais.,798.89,1583.83,False,78.313
C1,LA ESPERANZA,Reyes,1.4766355140186915,44.99540825013622,Sist. Ais.,31966.16,1583.83,True,2.206
C1,SANTA LOURDES,Reyes,11.074766355140186,45.54625875117102,Sist. Ais.,4329.45,1583.83,True,16.545
C1,LAS OLLITAS,Reyes,0.7383177570093458,53.59831174495377,Sist. Ais.,76131.71,1583.83,True,1.103
C1,SAN PEDRO,Reyes,20.672897196261683,61.13883268660233,SIN,3118.28,1583.83,True,30.884
C1,SAN JOSE,Reyes,50.943925233644855,62.5963814743042,Sist. Ais.,1305.77,1583.83,False,76.107
C1,PUERTO SALINAS,Reyes,19.19626168224299,65.91102082517787,SIN,3617.45,1583.83,True,28.678
C1,LAGO BUENA VISTA,Reyes,15.504672897196262,69.02785392269139,Sist. Ais.,4685.36,1583.83,True,23.163
C1,NATIVIDAD,Reyes,5.168224299065421,71.4536212463901,Sist. Ais.,14513.23,1583.83,True,7.721
C1,LAS MERCEDES,Reyes,9.598130841121495,76.31524770574404,Sist. Ais.,8353.96,1583.83,True,14.339
C1,PUERTO CAVINA,Reyes,11.813084112149532,86.09236999427894,Sist. Ais.,7658.64,1583.83,True,17.648
C1,MISION CAVINAS,Reyes,27.3177570093458,92.5992063100274,Sist. Ais.,3571.5,1583.83,True,40.811
C1,SANTA CATALINA,Reyes,14.02803738317757,95.92508664614128,SIN,7187.05,1583.83,True,20.957
C1,LAS PEÑITAS,Reyes,5.168224299065421,97.99526511085028,SIN,19897.72,1583.83,True,7.721
C1,BAQUETI,Reyes,7.383177570093458,103.43602066252632,SIN,14706.28,1583.83,True,11.03
C1,SAN MIGUEL,Reyes,13.289719626168225,105.23281783591366,SIN,8319.68,1583.83,True,19.854
C1,NUEVA ALIANZA,Reyes,0.7383177570093458,107.50004930470978,Sist. Ais.,152676.84,1583.83,True,1.103
C1,CAMPO BOLIVAR,Reyes,19.19626168224299,107.8426912427021,Sist. Ais.,5907.7,1583.83,True,28.678
C1,NUEVO REYES,Reyes,3.691588785046729,108.53775606893764,Sist. Ais.,30844.07,1583.83,True,5.515
C1,PEÑA GUARAYO,Reyes,10.336448598130842,110.1345880483854,Sist. Ais.,11188.95,1583.83,True,15.442
C1,CANDELARIA,Reyes,19.93457943925233,114.22629189642043,SIN,6025.3,1583.83,True,29.781
C1,EL TRIUNFO,Santa_Rosa_Beni,14.395498392282958,0.0093065830437991,SIN,18.15,1608.72,False,21.848
C1,EL ROSARIO,Santa_Rosa_Beni,11.77813504823151,0.0158405554524117,SIN,18.88,1608.72,False,17.875
C1,SANTA ROSA DE YACUMA,Santa_Rosa_Beni,37.95176848874598,0.03157501223138,SIN,18.35,1608.72,False,57.598
