Municipio_std,Cluster,Municipio_raw,Comunidad,No_tiene_2012,Poblacion_2012,distance_km,Dist_band
Guayaramerín,C3,Segunda Sección - Guayaramerín,SAN ROQUE,18.0,115.0,28.65433625287782,25-50 km
Guayaramerín,C3,Segunda Sección - Guayaramerín,SANTA FE,22.0,132.0,29.060504208701925,25-50 km
Guayaramerín,C3,Segunda Sección - Guayaramerín,PUERTO CARRERO,2.0,100.0,29.108626218279912,25-50 km
Guayaramerín,C3,Segunda Sección - Guayaramerín,PALMA SOLA,11.0,119.0,36.47067569941855,25-50 km
Guayaramerín,C3,Segunda Sección - Guayaramerín,RANCHO GRANDE,4.0,49.0,40.38408051675995,25-50 km
Guayaramerín,C3,Segunda Sección - Guayaramerín,BARRANCO COLORADO,30.0,136.0,43.31153220657153,25-50 km
Guayaramerín,C3,Segunda Sección - Guayaramerín,VILLA NUEVA,6.0,42.0,51.397478235423655,>50 km
Guayaramerín,C3,Segunda Sección - Guayaramerín,SAN JUAN DEL MAMORE,12.0,56.0,51.78525977435414,>50 km
Guayaramerín,C3,Segunda Sección - Guayaramerín,SINAI,2.0,9.0,59.43523186104842,>50 km
Guayaramerín,C3,Segunda Sección - Guayaramerín,SAN LORENZO,10.0,205.0,60.53986471365739,>50 km
Guayaramerín,C3,Segunda Sección - Guayaramerín,PUERTO COIMBRA,9.0,65.0,61.06026550255669,>50 km
Guayaramerín,C3,Segunda Sección - Guayaramerín,PUERTO BOLIVAR,8.0,66.0,62.68519024723435,>50 km
Guayaramerín,C3,Segunda Sección - Guayaramerín,SANTA FE DE LA CRUZ,7.0,91.0,63.07954358014262,>50 km
Guayaramerín,C3,Segunda Sección - Guayaramerín,FIRMEZA,4.0,20.0,69.65622739875305,>50 km
Guayaramerín,C3,Segunda Sección - Guayaramerín,LA ESPERANZA,1.0,3.0,70.53367067915084,>50 km
Guayaramerín,C3,Segunda Sección - Guayaramerín,ROSARIO DEL YATA,7.0,27.0,77.35268916244563,>50 km
Puerto_Gonzalo_Moreno,C3,Primera Sección - Puerto Gonzalo Moreno,VILLA NUEVA,11.0,97.0,0.15820759200344087,<5 km
Puerto_Gonzalo_Moreno,C3,Primera Sección - Puerto Gonzalo Moreno,GONZALO MORENO,26.0,1839.0,1.0817250299389034,<5 km
Puerto_Gonzalo_Moreno,C3,Primera Sección - Puerto Gonzalo Moreno,SANTA ROSITA,11.0,84.0,1.6073642276268576,<5 km
Puerto_Gonzalo_Moreno,C3,Primera Sección - Puerto Gonzalo Moreno,AMERICA,13.0,130.0,3.3986510324975656,<5 km
Puerto_Gonzalo_Moreno,C3,Primera Sección - Puerto Gonzalo Moreno,CONTRAVARICIA,24.0,232.0,4.808440984073083,<5 km
Puerto_Gonzalo_Moreno,C3,Primera Sección - Puerto Gonzalo Moreno,LIBERTAD,9.0,242.0,5.688920808539753,5-10 km
Puerto_Gonzalo_Moreno,C3,Primera Sección - Puerto Gonzalo Moreno,LAS PIEDRAS,57.0,1133.0,5.906283075168716,5-10 km
Puerto_Gonzalo_Moreno,C3,Primera Sección - Puerto Gonzalo Moreno,FRONTERA,16.0,376.0,7.73670917568952,5-10 km
Puerto_Gonzalo_Moreno,C3,Primera Sección - Puerto Gonzalo Moreno,6 DE AGOSTO,12.0,144.0,8.794457696229141,5-10 km
Puerto_Gonzalo_Moreno,C3,Primera Sección - Puerto Gonzalo Moreno,AGUA DULCE,46.0,608.0,9.004974124375007,5-10 km
Puerto_Gonzalo_Moreno,C3,Primera Sección - Puerto Gonzalo Moreno,LAGO VICTORIA,13.0,192.0,9.694900661390186,5-10 km
Puerto_Gonzalo_Moreno,C3,Primera Sección - Puerto Gonzalo Moreno,BUEN FUTURO,8.0,355.0,9.820219292043776,5-10 km
